Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Naturaleza jurídica;Periodo;Total
Nacional;;;Empresas: S.R.L.;2011T2;1.163
Nacional;;;Empresas: S.R.L.;2011T1;1.172
Nacional;;;Empresas: S.R.L.;2010T4;967
Nacional;;;Empresas: S.R.L.;2010T3;744
Nacional;;;Empresas: S.R.L.;2010T2;965
Nacional;;;Empresas: S.R.L.;2010T1;1.080
Nacional;;;Empresas: S.R.L.;2009T4;1.039
Nacional;;;Empresas: S.R.L.;2009T3;674
Nacional;;;Empresas: S.R.L.;2009T2;1.079
Nacional;;;Empresas: S.R.L.;2009T1;1.034
Nacional;;;Empresas: S.R.L.;2008T4;837
Nacional;;;Empresas: S.R.L.;2008T3;572
Nacional;;;Empresas: S.R.L.;2008T2;479
Nacional;;;Empresas: S.R.L.;2008T1;291
Nacional;;;Empresas: S.R.L.;2007T4;239
Nacional;;;Empresas: S.R.L.;2007T3;165
Nacional;;;Empresas: S.R.L.;2007T2;148
Nacional;;;Empresas: S.R.L.;2007T1;181
Nacional;;;Empresas: S.R.L.;2006T4;171
Nacional;;;Empresas: S.R.L.;2006T3;125
Nacional;;;Empresas: S.R.L.;2006T2;157
Nacional;;;Empresas: S.R.L.;2006T1;198
Nacional;;;Empresas: S.R.L.;2005T4;158
Nacional;;;Empresas: S.R.L.;2005T3;151
Nacional;;;Empresas: S.R.L.;2005T2;178
Nacional;;;Empresas: S.R.L.;2005T1;138
Nacional;;;Empresas: Otras;2020T4;27
Nacional;;;Empresas: Otras;2020T3;26
Nacional;;;Empresas: Otras;2020T2;18
Nacional;;;Empresas: Otras;2020T1;22
Nacional;;;Empresas: Otras;2019T4;37
Nacional;;;Empresas: Otras;2019T3;20
Nacional;;;Empresas: Otras;2019T2;18
Nacional;;;Empresas: Otras;2019T1;30
Nacional;;;Empresas: Otras;2018T4;23
Nacional;;;Empresas: Otras;2018T3;16
Nacional;;;Empresas: Otras;2018T2;38
Nacional;;;Empresas: Otras;2018T1;21
Nacional;;;Empresas: Otras;2017T4;29
Nacional;;;Empresas: Otras;2017T3;14
Nacional;;;Empresas: Otras;2017T2;50
Nacional;;;Empresas: Otras;2017T1;35
Nacional;;;Empresas: Otras;2016T4;54
Nacional;;;Empresas: Otras;2016T3;27
Nacional;;;Empresas: Otras;2016T2;44
Nacional;;;Empresas: Otras;2016T1;42
Nacional;;;Empresas: Otras;2015T4;30
Nacional;;;Empresas: Otras;2015T3;21
Nacional;;;Empresas: Otras;2015T2;27
Nacional;;;Empresas: Otras;2015T1;53
Nacional;;;Empresas: Otras;2014T4;43
Nacional;;;Empresas: Otras;2014T3;31
Nacional;;;Empresas: Otras;2014T2;50
Nacional;;;Empresas: Otras;2014T1;45
Nacional;;;Empresas: Otras;2013T4;58
Nacional;;;Empresas: Otras;2013T3;50
